Function,HV
ZDT1,5.6465e+00 +/- 5.74e-02
ZDT2,4.0628e+00 +/- 8.12e-02
ZDT3,6.5709e+00 +/- 2.25e-01
ZDT4,0.0000e+00 +/- 0.00e+00
ZDT6,5.1535e+00 +/- 2.81e-05
WFG1,4.3313e+01 +/- 1.41e+00
WFG2,8.1685e+01 +/- 4.72e+00
WFG3,6.1830e+01 +/- 1.12e+00
WFG4,6.8798e+01 +/- 5.87e-01
WFG5,6.2653e+01 +/- 2.08e+00
WFG6,5.9047e+01 +/- 1.23e+00
WFG7,6.1510e+01 +/- 3.81e-01
WFG8,5.4436e+01 +/- 1.07e+00
WFG9,6.7385e+01 +/- 1.20e+00
