seed,IGD,HV
0,20.032377123420638,0.0
1,19.272413442691512,0.0
2,19.668379166151325,0.0
3,13.66941799037987,0.0
4,19.688033744465955,0.0
5,17.61332811481037,0.0
6,23.371222917907627,0.0
7,15.831426519248248,0.0
8,19.198466993504606,0.0
9,22.132036976622206,0.0
10,18.8416758316924,0.0
11,18.37610044817727,0.0
12,13.077189636206082,0.0
13,18.668507775132348,0.0
14,11.487700203559566,0.0
15,20.279706606241717,0.0
16,15.175598054536747,0.0
17,20.418330677965127,0.0
18,13.2795379506003,0.0
19,17.844502194393815,0.0
20,15.299033229780443,0.0
21,17.130342630460774,0.0
22,16.916635092243908,0.0
23,15.922768972928552,0.0
24,13.544781339719385,0.0
25,17.77970833955395,0.0
26,12.488564587325454,0.0
27,17.4890986188899,0.0
28,14.673864935521694,0.0
29,16.40296634124302,0.0
