seed,IGD,HV
0,0.0011806135215851083,5.153491153159944
1,0.0010784374994457458,5.153490768934904
2,0.001177438827661403,5.153513537931859
3,0.0011362439833482747,5.153486621834012
4,0.0012459588597414318,5.153474522431422
5,0.0010944876064664507,5.15349368675209
6,0.0011345006857447798,5.153510228131435
7,0.0011204733307941179,5.153545417705702
8,0.001127833456620915,5.153474686434468
9,0.0012391073346629325,5.153518312692286
10,0.0011231304098449052,5.153514238503396
11,0.0012147118867443473,5.153558467620105
12,0.0011781178639815165,5.153519755143153
13,0.0012503191643752083,5.153509288649973
14,0.0011524273272000424,5.153451157777556
15,0.0012501718319373894,5.153484491426377
16,0.0012462388694231574,5.153492299153953
17,0.0010876302530434055,5.153504114071396
18,0.0012073906330994715,5.153516812301511
19,0.0010825464359438596,5.153439373254035
20,0.0011205119705150442,5.153552511347165
21,0.001163848159151154,5.15346496068435
22,0.0010733003819808828,5.153503679834551
23,0.0011507932813926555,5.1534619400803106
24,0.0010696064780021713,5.153479030115885
25,0.0011480119258198821,5.153519091111109
26,0.001230519713499218,5.153525121694546
27,0.001121140074313114,5.153511445238382
28,0.0011276175856822198,5.153519285908272
29,0.0010643037021863392,5.153479320271356
