Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.052723770192819416,0.017259495247687183,5.646545245157599,0.057384496696751996
ZDT2,0.3065305675329427,0.03966871607976238,4.062754208922159,0.08119353573070702
ZDT3,0.12069968462324233,0.04650895797771609,6.570862430553462,0.22458846109839847
ZDT4,17.185790548512493,2.932689520885126,0.0,0.0
ZDT6,0.0011532477684735717,5.985336061616071e-05,5.15350017733985,2.8118444249454566e-05
WFG1,1.4701300003072333,0.04061039126123252,43.31299195244997,1.4140545502750914
WFG2,0.5617625328079471,0.07944985425534527,81.68484378180372,4.7151139190923175
WFG3,0.3530929110821383,0.030870921568196784,61.830420456793675,1.1244800809277693
WFG4,0.2441401633901425,0.009834994369136204,68.79785574535825,0.586938944887604
WFG5,0.3345437595837141,0.044879702657529816,62.65289885722378,2.0844648466411844
WFG6,0.43848282912003567,0.025453978463290578,59.04650759974358,1.2317097882390204
WFG7,0.4063060109420543,0.007221397281598853,61.51043058037089,0.3814888601846536
WFG8,0.5296199856887684,0.0213525263642283,54.43635538688331,1.0717517491479163
WFG9,0.2582229866888567,0.02219376734720412,67.38534180690688,1.1964030739287013
