Function,IGD
ZDT1,5.2724e-02 +/- 1.73e-02
ZDT2,3.0653e-01 +/- 3.97e-02
ZDT3,1.2070e-01 +/- 4.65e-02
ZDT4,1.7186e+01 +/- 2.93e+00
ZDT6,1.1532e-03 +/- 5.99e-05
WFG1,1.4701e+00 +/- 4.06e-02
WFG2,5.6176e-01 +/- 7.94e-02
WFG3,3.5309e-01 +/- 3.09e-02
WFG4,2.4414e-01 +/- 9.83e-03
WFG5,3.3454e-01 +/- 4.49e-02
WFG6,4.3848e-01 +/- 2.55e-02
WFG7,4.0631e-01 +/- 7.22e-03
WFG8,5.2962e-01 +/- 2.14e-02
WFG9,2.5822e-01 +/- 2.22e-02
