Function,HV
ZDT1,5.6213e+00 +/- 5.03e-02
ZDT2,3.7500e+00 +/- 0.00e+00
ZDT3,6.4794e+00 +/- 2.50e-01
ZDT4,0.0000e+00 +/- 0.00e+00
ZDT6,5.1534e+00 +/- 1.08e-04
WFG1,4.4460e+01 +/- 1.47e+00
WFG2,8.1295e+01 +/- 4.25e+00
WFG3,6.2273e+01 +/- 8.84e-01
WFG4,6.8953e+01 +/- 5.48e-01
WFG5,6.2855e+01 +/- 2.44e+00
WFG6,5.8805e+01 +/- 1.23e+00
WFG7,6.1607e+01 +/- 3.21e-01
WFG8,5.4798e+01 +/- 1.21e+00
WFG9,6.7508e+01 +/- 1.18e+00
