Function,IGD
ZDT1,6.0503e-02 +/- 1.68e-02
ZDT2,6.1046e-01 +/- 1.13e-16
ZDT3,1.4423e-01 +/- 5.60e-02
ZDT4,1.6661e+01 +/- 3.03e+00
ZDT6,1.2050e-03 +/- 1.02e-04
WFG1,1.4353e+00 +/- 3.91e-02
WFG2,6.0712e-01 +/- 1.01e-01
WFG3,3.3772e-01 +/- 2.71e-02
WFG4,2.4145e-01 +/- 1.25e-02
WFG5,3.2691e-01 +/- 4.88e-02
WFG6,4.4467e-01 +/- 2.35e-02
WFG7,4.0308e-01 +/- 6.54e-03
WFG8,5.2239e-01 +/- 2.34e-02
WFG9,2.5239e-01 +/- 1.91e-02
