seed,IGD,HV
0,0.3992393517624556,61.982781069432285
1,0.40687745393937597,61.45420826234628
2,0.399085531956804,61.49127810965798
3,0.4074204408933319,61.58253434644834
4,0.4062198671468676,61.36048063993216
5,0.3952363264277413,61.77758165180249
6,0.3970033615305048,61.90275185272331
7,0.40162711118943806,61.245420428442884
8,0.4009555298247036,61.468641948417286
9,0.3977102206010984,61.762379246779986
10,0.4070318286333712,61.986327649065935
11,0.406019460736201,61.349129955572266
12,0.40443239086230054,61.80493792126982
13,0.4111135795406091,61.04007807852075
14,0.40658041049824856,61.64049859442366
15,0.40863987674548397,61.34691752604756
16,0.4083260750178649,61.605320604872716
17,0.41750903026258973,61.10161847765009
18,0.4020885528097352,61.650796065734745
19,0.4023217269070064,61.29621153228632
20,0.4005471950045627,62.00387237915931
21,0.4112816865063754,61.60258272403743
22,0.40545733154104036,61.179612128588694
23,0.40511979821888694,61.70976844028459
24,0.3876415350581767,62.33108151335828
25,0.3979882520621797,61.6088892715437
26,0.40447109220302174,61.69920643694468
27,0.4100627199022945,61.15169346163572
28,0.3956840168083219,62.01107273446462
29,0.38865433653277165,62.06790721627375
