Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.060503180940639216,0.01677186797128453,5.621317001067087,0.05025944468683466
ZDT2,0.6104614577368904,1.1292025708167404e-16,3.75,0.0
ZDT3,0.1442253270536526,0.056030734486535956,6.479417417677078,0.2504680360776603
ZDT4,16.66075036861099,3.0293181054147786,0.0,0.0
ZDT6,0.001205049448396123,0.00010188148016194923,5.153395924184581,0.00010817440192922306
WFG1,1.4352707070415802,0.03908001816673225,44.45958010519997,1.470531850008464
WFG2,0.6071248447659141,0.10056384166267071,81.29460050561373,4.254495174623781
WFG3,0.3377190839199223,0.02705077243211111,62.272793556462055,0.8844320564614016
WFG4,0.24144988013023747,0.012522012312010094,68.9526920757378,0.54832170658346
WFG5,0.3269053825557671,0.048844922583683247,62.85497028386538,2.4358980779742785
WFG6,0.44466694572582244,0.023541125223849903,58.80476149267529,1.228818415828802
WFG7,0.40307820303744535,0.006539165408982676,61.60718600892392,0.321103990139188
WFG8,0.5223864033650747,0.023437569556039706,54.79839737174197,1.2092671807250603
WFG9,0.25239160659926874,0.01913288200806461,67.50796136639507,1.177284668917805
