Function,HV
ZDT1,5.6638e+00 +/- 5.25e-02
ZDT2,4.1277e+00 +/- 1.12e-01
ZDT3,7.2843e+00 +/- 7.22e-02
ZDT4,0.0000e+00 +/- 0.00e+00
ZDT6,5.1182e+00 +/- 1.93e-01
WFG1,4.2555e+01 +/- 1.90e+00
WFG2,8.5589e+01 +/- 5.10e+00
WFG3,6.1456e+01 +/- 8.62e-01
WFG4,6.6789e+01 +/- 6.34e+00
WFG5,6.3463e+01 +/- 2.07e+00
WFG6,5.7059e+01 +/- 8.39e-01
WFG7,6.0407e+01 +/- 5.61e-01
WFG8,5.1331e+01 +/- 2.85e+00
WFG9,6.7745e+01 +/- 1.37e+00
