Function,IGD
ZDT1,4.7762e-02 +/- 1.56e-02
ZDT2,2.7781e-01 +/- 4.78e-02
ZDT3,3.1173e-02 +/- 1.16e-02
ZDT4,1.7318e+01 +/- 4.02e+00
ZDT6,1.4044e-02 +/- 7.08e-02
WFG1,1.4693e+00 +/- 4.16e-02
WFG2,4.7222e-01 +/- 1.30e-01
WFG3,3.7254e-01 +/- 2.82e-02
WFG4,3.0768e-01 +/- 2.10e-01
WFG5,3.1789e-01 +/- 3.74e-02
WFG6,5.0737e-01 +/- 2.45e-02
WFG7,4.3390e-01 +/- 1.36e-02
WFG8,6.3910e-01 +/- 1.11e-01
WFG9,2.5192e-01 +/- 2.38e-02
