seed,IGD,HV
0,0.24291828795271175,69.55269754112295
1,0.2624903829471417,67.91519931950057
2,0.2542141074383744,68.12880634808513
3,0.23807464094600442,68.32120161354663
4,0.2417166036768024,69.21415507140516
5,0.24541757318833954,68.44298919142255
6,0.22207750864666115,70.46353973716636
7,0.2468869873084862,69.11941602737258
8,0.24660668268209562,68.81174053080687
9,0.24625607908445832,68.55752954407254
10,0.31576652583865783,65.67153417066216
11,0.2724630914395784,67.6372456307995
12,0.24759701602267392,68.16217557819866
13,0.894461048726515,48.648689952153504
14,0.2877227234623409,65.83285555382191
15,0.2689647957518228,67.78134998608837
16,0.2740030033004858,67.6417637467006
17,0.22032136203715272,70.2100283273546
18,0.2792809965296177,67.94724084257038
19,1.222532223301886,39.86041370879131
20,0.26827793909917863,66.90379550368242
21,0.23575705684412687,69.8538487643359
22,0.26043579045787935,67.9694478228966
23,0.23329937087454294,69.99020160526018
24,0.22685757425747047,69.44131551610867
25,0.2621257654568933,67.40787733853261
26,0.2265611318832216,69.08274226402862
27,0.2557923077582103,68.76450612325341
28,0.2995326805801354,66.8473909708389
29,0.23191437073620108,69.50220723378985
