Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.047761737715013984,0.015582877013789723,5.663847061311453,0.052543895104832254
ZDT2,0.27781457073723226,0.04783223697724813,4.127669792530025,0.11208724496169763
ZDT3,0.031172589726767112,0.011560430353033394,7.2843227334778895,0.07221906615893438
ZDT4,17.317674627072183,4.02032121349762,0.0,0.0
ZDT6,0.014044373093216617,0.07078009005041888,5.1182242653412215,0.19320297940429984
WFG1,1.4692896816080294,0.041589022586461466,42.554546266465834,1.8974710366259975
WFG2,0.4722174941863527,0.12968099742173714,85.58884780142519,5.096644452287806
WFG3,0.3725367308882157,0.028185495335844853,61.45644969533979,0.8615620213142339
WFG4,0.3076775209409888,0.20980468717586417,66.78946351881231,6.342405656286706
WFG5,0.3178902555259272,0.037369288736552236,63.463476512160334,2.0699125641610587
WFG6,0.5073746783707321,0.024477532277545018,57.058965654425535,0.8387459276696345
WFG7,0.43389872669613205,0.013641604672383772,60.407357038194874,0.561053559610981
WFG8,0.639095132057967,0.11078164320859259,51.33112742911887,2.8497758410208704
WFG9,0.2519165692030146,0.023766897363775467,67.74544006596298,1.3656810039786667
