seed,IGD,HV
0,0.06464946679754059,5.612755146986496
1,0.07798680893349759,5.566054341861903
2,0.05324842851672117,5.646093679029239
3,0.020676455914978263,5.770029246301078
4,0.025061214895310276,5.728211291389744
5,0.05185771689635309,5.6503695922954496
6,0.04528454348547012,5.672662655816246
7,0.061289461022350944,5.620759884970396
8,0.04989168578950645,5.657929278150312
9,0.024747765002556522,5.75039058917766
10,0.03790140220446811,5.696378947610625
11,0.03579924762672644,5.694454682159129
12,0.061749757959199514,5.617273990370279
13,0.07413431032610202,5.584891699501927
14,0.07359837407177436,5.571972143694486
15,0.05069981970553303,5.653959443590566
16,0.033508017691323014,5.707037941524134
17,0.0515436022707393,5.639307653086058
18,0.07435445794945722,5.586058278675759
19,0.04476960725206558,5.668024063986078
20,0.052645022735857444,5.628622656999373
21,0.04865453019876347,5.662129119323364
22,0.031110589533492147,5.728044500456947
23,0.050945658800333964,5.653648348096997
24,0.03778399246919832,5.694254005840597
25,0.04398553768916658,5.67550360522708
26,0.035565325169303635,5.70450168199431
27,0.046584724357734954,5.666476121912608
28,0.025249787425609974,5.746597418864426
29,0.04757481875928549,5.661019830450303
