seed,IGD,HV
0,0.22531016767187648,91.58795108239045
1,0.270125693084147,91.78802675429908
2,0.2634906199440632,91.82826073167037
3,0.2632868375743064,91.17402651611256
4,0.6002858246368454,83.63264099735353
5,0.2742808881404959,91.10764674503692
6,0.2685194581034089,91.83359793222957
7,0.25246612828302206,92.2651767573884
8,0.336795063677483,90.8992695835622
9,0.2641507641894605,91.26351297722412
10,0.28475459131476455,90.89517936724656
11,0.2880332455474719,91.41324038008081
12,0.26135877317399026,91.7091780743032
13,0.28682244122763706,91.37060686902916
14,0.265257219570834,89.72728645247835
15,0.5695215744277222,78.87375617226249
16,0.28357670943645424,90.8581898280381
17,0.28104093628927945,89.62568616540987
18,0.22595348142530486,92.3525844436031
19,0.6196715811479654,77.54600251068112
20,0.23393108147462446,91.6603655648167
21,0.3054919026489337,91.84223460390587
22,0.5673516632491399,77.53292161009905
23,0.2574828496205842,91.79850514772029
24,0.602582682805873,77.64363575080642
25,0.25214188441988233,91.2217647028275
26,0.29840066454130715,89.93597088856295
27,0.2833482754962837,91.05993651045556
28,0.2660651623807281,91.83440093191261
29,0.27020489949653775,90.97326047919194
