Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.022961734656730216,0.010643150025412723,5.755845819248704,0.047463296473163344
ZDT2,0.10532401069742221,0.028558007326618576,4.675191733782023,0.1498464246344595
ZDT3,0.025424115388842868,0.01891324340037627,7.317711190429451,0.09101893961425322
ZDT4,18.60730779983258,2.2683529083174685,0.0,0.0
ZDT6,0.0011286193677733612,8.925065469928606e-05,5.15349153573413,3.484670402355337e-05
WFG1,1.4658008499321296,0.0413635840171392,42.8144833122078,2.0092035426231516
WFG2,0.32405676883334755,0.12409001683819391,89.24182721768996,4.782396365771586
WFG3,0.31954071990370164,0.024441284530284327,62.72479368923222,0.8609555714695353
WFG4,0.25098650236881037,0.014306438380044145,68.45446923684557,0.8596426941976169
WFG5,0.5056592048931686,0.13570546020644958,54.844281398804135,5.7912084905923455
WFG6,0.46170160164566043,0.01601685706316488,58.03343266981836,0.814572784415622
WFG7,0.4190066840756231,0.008106551695472728,61.192490834837415,0.4879811162254511
WFG8,0.5800625063224234,0.027449524640573,52.43149364340076,1.4022261999537928
WFG9,0.26452367909208935,0.02331804891826705,67.09454818659748,1.3349271031288001
