seed,IGD,HV
0,19.44283756444862,0.0
1,16.195757462100843,0.0
2,21.36467468270759,0.0
3,21.286773342953197,0.0
4,16.948086793183222,0.0
5,21.85031693848891,0.0
6,20.054038415357805,0.0
7,16.99968162539523,0.0
8,19.557047861696613,0.0
9,18.873794698248442,0.0
10,15.786657782255618,0.0
11,19.4690184383687,0.0
12,15.813245127138128,0.0
13,19.07022921998958,0.0
14,20.420378604344652,0.0
15,21.191352336111887,0.0
16,16.623847241637268,0.0
17,19.32407808265855,0.0
18,16.969139507127846,0.0
19,14.641649072660675,0.0
20,18.43475474172267,0.0
21,20.275006203454474,0.0
22,21.9608522405434,0.0
23,17.667036759818487,0.0
24,13.772582953940084,0.0
25,19.211521649258824,0.0
26,19.67323506704611,0.0
27,14.914541967997401,0.0
28,20.863366623092844,0.0
29,19.563730991229733,0.0
