seed,IGD,HV
0,18.735536227454794,0.0
1,11.170007783898848,0.0
2,16.40575372542388,0.0
3,15.364216058090232,0.0
4,14.844821324400293,0.0
5,16.14378133673975,0.0
6,21.6832978848778,0.0
7,24.7910868187061,0.0
8,15.337868711932222,0.0
9,21.12647787123988,0.0
10,21.697572375612438,0.0
11,12.086445398750321,0.0
12,17.0572404260702,0.0
13,20.858106843360805,0.0
14,11.042364329332688,0.0
15,16.28829955883056,0.0
16,19.508176984505333,0.0
17,17.033244735507516,0.0
18,17.922828889415726,0.0
19,18.493738904476633,0.0
20,14.473452181131856,0.0
21,16.01521807891277,0.0
22,19.62393954008235,0.0
23,16.14846737606156,0.0
24,18.659416659584068,0.0
25,16.097563922536402,0.0
26,16.820382935078218,0.0
27,11.759896716358893,0.0
28,11.708434312655811,0.0
29,18.74279193803834,0.0
