Function,HV
ZDT1,5.6233e+00 +/- 9.02e-02
ZDT2,3.5688e+00 +/- 3.91e-01
ZDT3,7.3027e+00 +/- 9.13e-02
ZDT4,0.0000e+00 +/- 0.00e+00
ZDT6,5.0364e+00 +/- 3.57e-01
WFG1,4.2901e+01 +/- 1.77e+00
WFG2,8.2856e+01 +/- 5.87e+00
WFG3,6.1747e+01 +/- 8.44e-01
WFG4,6.5793e+01 +/- 7.44e+00
WFG5,6.3236e+01 +/- 1.47e+00
WFG6,5.6931e+01 +/- 8.97e-01
WFG7,6.0530e+01 +/- 5.32e-01
WFG8,5.1025e+01 +/- 1.79e+00
WFG9,6.8304e+01 +/- 1.17e+00
