seed,IGD,HV
0,0.23145150724740732,68.64646096865538
1,0.22566932068303994,69.41035204548508
2,0.23146595588637342,68.92071308715109
3,0.271731811246429,66.29174646018693
4,0.22302889599383752,69.17933316973081
5,0.27085921763070575,66.75412889304472
6,0.24512649716557955,67.77271094725705
7,0.2441656382058546,68.11464263970704
8,0.23136369068747667,68.35079595981435
9,0.2098517457737505,69.86908806457286
10,0.21386535074813626,70.45519829759812
11,0.2427430772884705,68.58510757487238
12,0.23335218346052217,68.77636707358629
13,0.2501326045866152,67.60144370285705
14,0.29466830182667286,65.3464622286238
15,0.23401392657597822,69.10865047783074
16,0.26140301921185816,67.78035951859208
17,0.23282833668941338,68.5613919201646
18,0.2625165146721288,66.88368055746784
19,0.2202776457461068,69.26901663097223
20,0.27672893552875627,67.16880712693289
21,0.2713305504532884,66.7086382563048
22,0.2255797741636511,69.0735639203681
23,0.26016094405284146,67.18534615697317
24,0.22919835668765137,69.00907389457416
25,0.2343126502552727,69.13727063505675
26,0.23198285706490127,68.72231421578215
27,0.22624001148256037,68.71108180493427
28,0.2560234356602156,67.89140711429664
29,0.21175533518614834,69.84013388655293
