Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.061214208983958324,0.02831409485812148,5.623297499779162,0.09016065417371491
ZDT2,0.6618023756890155,0.11372324239763901,3.5688479995320845,0.39098383220066857
ZDT3,0.03177462250128333,0.015518496589894185,7.302722641078078,0.09133238322599742
ZDT4,16.921347661635544,3.3793525101955524,0.0,0.0
ZDT6,0.047260699003706136,0.14045967363650905,5.036416744540207,0.3568334790657839
WFG1,1.4531387335956554,0.03288644658513884,42.90105364807092,1.7740934601013687
WFG2,0.5513312392751762,0.14174006611881643,82.85597018677373,5.868216732414933
WFG3,0.3641526501525783,0.029352757789448177,61.74707870662424,0.8435292957218282
WFG4,0.33138245245412545,0.23168772056981154,65.79307516762427,7.437762279691182
WFG5,0.32269694076174854,0.025682689899371634,63.236147711951,1.4669765918806885
WFG6,0.5163314028693151,0.02039010918567355,56.93090840348747,0.8972053292757324
WFG7,0.4281208332938473,0.01590551472429503,60.5297986888384,0.5317119198898654
WFG8,0.6517660772549225,0.059444344612367486,51.0248187774221,1.7918086519165972
WFG9,0.24179426972872145,0.021333612020522294,68.30417624099822,1.1678949957322455
