Function,IGD
ZDT1,6.1214e-02 +/- 2.83e-02
ZDT2,6.6180e-01 +/- 1.14e-01
ZDT3,3.1775e-02 +/- 1.55e-02
ZDT4,1.6921e+01 +/- 3.38e+00
ZDT6,4.7261e-02 +/- 1.40e-01
WFG1,1.4531e+00 +/- 3.29e-02
WFG2,5.5133e-01 +/- 1.42e-01
WFG3,3.6415e-01 +/- 2.94e-02
WFG4,3.3138e-01 +/- 2.32e-01
WFG5,3.2270e-01 +/- 2.57e-02
WFG6,5.1633e-01 +/- 2.04e-02
WFG7,4.2812e-01 +/- 1.59e-02
WFG8,6.5177e-01 +/- 5.94e-02
WFG9,2.4179e-01 +/- 2.13e-02
