Function,IGD
ZDT1,1.9967e-02 +/- 9.59e-03
ZDT2,6.5480e-02 +/- 5.88e-02
ZDT3,4.8979e-02 +/- 2.51e-02
ZDT4,1.7712e+01 +/- 3.02e+00
ZDT6,1.1408e-03 +/- 7.02e-05
WFG1,1.4408e+00 +/- 2.92e-02
WFG2,2.8877e-01 +/- 6.15e-02
WFG3,2.8448e-01 +/- 2.86e-02
WFG4,2.3795e-01 +/- 6.92e-03
WFG5,5.9015e-01 +/- 1.44e-01
WFG6,3.9840e-01 +/- 1.97e-02
WFG7,4.0096e-01 +/- 7.17e-03
WFG8,5.1174e-01 +/- 1.95e-02
WFG9,2.7117e-01 +/- 2.04e-02
