seed,IGD,HV
0,0.525111396610819,54.98472794271287
1,0.5312989185903649,55.164599615365766
2,0.5044000801097002,55.42739798385298
3,0.5348983183506445,54.69379754960284
4,0.4774942968743896,57.145004855459455
5,0.556317378372223,54.22725104818872
6,0.4813016934260627,56.6180687730671
7,0.519991433941945,55.90593807658108
8,0.4963980906294671,56.38159904165498
9,0.48488926200431903,56.47058595779255
10,0.5156078504847513,54.86689993880641
11,0.5147840583536257,55.88056869546262
12,0.5230720083035872,55.865522091871554
13,0.5376148370885602,54.55685279324061
14,0.5106748821307692,55.856060820031516
15,0.5084989963952755,55.63456777320087
16,0.49886214860565886,56.17344514136695
17,0.5195925707712318,55.393888397972
18,0.5126893778531532,55.947614213619914
19,0.49198358884486904,56.21961612964551
20,0.5095896386514108,55.40903988952445
21,0.5241237257136663,56.249054720807514
22,0.5140941109932092,55.76045688250101
23,0.504915217859816,56.103365221062646
24,0.4894114652853228,56.39433523843194
25,0.5455588349512851,54.216240385165094
26,0.5111542282002575,55.497703807971824
27,0.49764219142104493,55.74457216529267
28,0.5292252683554917,55.48433597261281
29,0.4808677571274609,57.211776930316184
