Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.019967238054338355,0.009586283328321003,5.766917064151702,0.04964772322378383
ZDT2,0.065479690214087,0.05877845192835876,5.014612363185236,0.44778647058934007
ZDT3,0.048979157264821875,0.025087712222894572,7.025505630027461,0.2207478103531755
ZDT4,17.712462000940445,3.02108045611134,0.0,0.0
ZDT6,0.0011408165276679068,7.020740609698171e-05,5.153503158261908,3.357265234318741e-05
WFG1,1.4407886002432375,0.029162124194247293,44.42260409345143,1.1866631238273078
WFG2,0.2887735696872153,0.061483850217916906,90.83070204789713,2.3190488521640122
WFG3,0.2844826773084031,0.02855956804026331,63.871007313781426,0.9108803657011816
WFG4,0.23795182818675847,0.006921736279265053,69.0705545919309,0.49744477442472446
WFG5,0.5901451126151379,0.14358060741322784,51.219127599883784,5.983000569076071
WFG6,0.3984031630644073,0.01965335920370057,60.98030020457074,1.178886025388535
WFG7,0.4009607680128974,0.007166819004991057,61.841809834557615,0.34215648869743603
WFG8,0.5117354542100128,0.019498147786443442,55.716162935106084,0.7526393974869867
WFG9,0.27117416619709755,0.020397472468563625,66.65355435406003,1.0378848517386776
