Function,HV
ZDT1,5.7669e+00 +/- 4.96e-02
ZDT2,5.0146e+00 +/- 4.48e-01
ZDT3,7.0255e+00 +/- 2.21e-01
ZDT4,0.0000e+00 +/- 0.00e+00
ZDT6,5.1535e+00 +/- 3.36e-05
WFG1,4.4423e+01 +/- 1.19e+00
WFG2,9.0831e+01 +/- 2.32e+00
WFG3,6.3871e+01 +/- 9.11e-01
WFG4,6.9071e+01 +/- 4.97e-01
WFG5,5.1219e+01 +/- 5.98e+00
WFG6,6.0980e+01 +/- 1.18e+00
WFG7,6.1842e+01 +/- 3.42e-01
WFG8,5.5716e+01 +/- 7.53e-01
WFG9,6.6654e+01 +/- 1.04e+00
