seed,IGD,HV
0,0.24099198099298935,68.93630884257271
1,0.2342610999736288,69.1758961594215
2,0.23109251795252694,70.1896396802854
3,0.24577072792532442,68.33856642192286
4,0.24178478649244622,68.93435496436561
5,0.2364406936047293,70.00302402445152
6,0.22851556825452568,69.71253646504184
7,0.2356808576201482,69.30592791813025
8,0.23024249314804848,69.23865819716985
9,0.24317563795778874,68.78918766232077
10,0.2328674729494408,68.89400845777402
11,0.2202105297299322,70.21800917988496
12,0.23262578538587236,69.99927052487516
13,0.23911784466552774,69.29264327823213
14,0.25252546705237033,68.37289467785253
15,0.24440681724742627,69.14361729447803
16,0.24105669370358165,69.02669215481461
17,0.25256588773262056,68.0161694240704
18,0.24981070259970206,68.67592995741359
19,0.2388167176276459,69.4618252130475
20,0.24209088995471872,68.78420876989615
21,0.2562135507228825,68.57612790108135
22,0.22914534762599773,69.95241262626845
23,0.22297050797631904,69.79619537243948
24,0.22577238683361628,69.89547161315143
25,0.24853286048960513,69.40764089715408
26,0.2396397703964971,69.36031895572188
27,0.23342186854643449,68.99450412977322
28,0.22681408607556633,69.84989227291153
29,0.24183219484926777,69.39519692115256
