Function,IGD
ZDT1,2.9619e-02 +/- 2.71e-02
ZDT2,6.1046e-01 +/- 1.13e-16
ZDT3,6.5863e-02 +/- 3.81e-02
ZDT4,1.7489e+01 +/- 3.17e+00
ZDT6,1.2085e-03 +/- 8.88e-05
WFG1,1.4458e+00 +/- 3.56e-02
WFG2,3.1943e-01 +/- 9.02e-02
WFG3,2.8466e-01 +/- 2.86e-02
WFG4,2.3795e-01 +/- 9.08e-03
WFG5,6.1939e-01 +/- 1.54e-01
WFG6,3.9804e-01 +/- 2.57e-02
WFG7,3.9676e-01 +/- 6.15e-03
WFG8,5.1696e-01 +/- 2.33e-02
WFG9,2.6166e-01 +/- 1.50e-02
