seed,IGD,HV
0,0.07168670981272468,6.840105876976822
1,0.06804411821964239,6.852304023226649
2,0.19665082568679215,6.277749024175013
3,0.06602534812929146,6.880352444693755
4,0.04556275207478264,7.079442472676341
5,0.07153500491929048,6.833332770923744
6,0.008559685698324417,7.384358194387148
7,0.028762693522395088,7.224619181927357
8,0.06886277437313226,6.860315930467014
9,0.011865426093017706,7.388329341080157
10,0.07663425209052989,6.839588981502416
11,0.06391546734281324,6.890982247596489
12,0.06679412244401468,6.869120075921907
13,0.1212502762955373,6.533883918117193
14,0.060977995234998285,6.905648096911079
15,0.02992843995219916,7.094492079859393
16,0.06565514053955203,6.8754519963536715
17,0.0688076657520864,6.859135353757324
18,0.025722534346628727,7.246825999985473
19,0.07821100081387193,6.795407735960984
20,0.1474789447088631,6.378075650157162
21,0.07840101407514324,6.798812402094895
22,0.0740774247915476,6.820802087298625
23,0.0644685918043359,6.879747254757188
24,0.05403612457037906,6.901465699883057
25,0.07683070328981285,6.798856434751318
26,0.015498538281335912,7.342786283350369
27,0.06872786671498035,6.84794476356211
28,0.034358890982176246,7.107451912685167
29,0.06656724657583793,6.869544627621323
