Function,HV
ZDT1,5.7327e+00 +/- 8.25e-02
ZDT2,3.7500e+00 +/- 0.00e+00
ZDT3,6.9092e+00 +/- 2.53e-01
ZDT4,0.0000e+00 +/- 0.00e+00
ZDT6,5.1534e+00 +/- 7.76e-05
WFG1,4.4354e+01 +/- 1.17e+00
WFG2,9.0570e+01 +/- 4.24e+00
WFG3,6.3884e+01 +/- 8.95e-01
WFG4,6.9258e+01 +/- 5.76e-01
WFG5,4.9874e+01 +/- 6.29e+00
WFG6,6.1098e+01 +/- 1.43e+00
WFG7,6.1996e+01 +/- 3.81e-01
WFG8,5.5185e+01 +/- 1.14e+00
WFG9,6.7144e+01 +/- 7.81e-01
