seed,IGD,HV
0,18.32780119455642,0.0
1,17.066100864296896,0.0
2,19.659789496480634,0.0
3,19.397624550682444,0.0
4,20.295495603005982,0.0
5,18.818598016096356,0.0
6,16.216814816736363,0.0
7,18.663525312685607,0.0
8,18.18282707223448,0.0
9,19.0417027460932,0.0
10,20.13236551542884,0.0
11,23.17253440089217,0.0
12,14.013155311950099,0.0
13,20.95296657856573,0.0
14,22.325885400228582,0.0
15,13.24651032444772,0.0
16,15.795166593717715,0.0
17,12.96800666922896,0.0
18,15.879436981264982,0.0
19,18.666030260967187,0.0
20,16.89039678106401,0.0
21,14.769045043652213,0.0
22,17.633468974960373,0.0
23,24.833415069358736,0.0
24,10.779987057739033,0.0
25,12.179385806241392,0.0
26,18.08111659002007,0.0
27,19.98451829123674,0.0
28,18.11842823173837,0.0
29,20.56843736755796,0.0
