seed,IGD,HV
0,1.4562506215727735,43.60271638983813
1,1.4167851990001703,42.184474910255126
2,1.4891296221280612,43.2761726906982
3,1.4115253305698165,45.27556897110442
4,1.4884605451353123,42.72073565778665
5,1.4542741547448845,41.33445842252881
6,1.4614178940765266,43.73766520506235
7,1.4654242506659372,43.91859935691928
8,1.4216611785953237,44.8778023822371
9,1.4095295435397022,44.89115812509255
10,1.49026903120776,42.68588482316699
11,1.4306911295450129,44.64061685598466
12,1.444340634455224,41.68589926297308
13,1.5580911749791093,40.24951460003983
14,1.4669548266090393,43.63132175457686
15,1.476952145149816,43.14627154286089
16,1.5330322752283299,38.426394115941534
17,1.4278614682491817,44.63664559039782
18,1.4835319230928248,43.63715374470439
19,1.5634204096833817,40.22777313554672
20,1.417817647749891,45.092254153230954
21,1.4137146532568654,45.06002094632289
22,1.4093820677374598,45.23178734231809
23,1.459234992666644,43.0529991352133
24,1.4772131069224632,43.34590570235995
25,1.478178914014957,43.58471072744523
26,1.4065515279609517,45.5339964099723
27,1.4291946603214014,44.96097942870545
28,1.4987645712335973,39.81743281494279
29,1.4832258940303304,40.12724969764702
