Function,HV
ZDT1,5.7407e+00 +/- 1.02e-01
ZDT2,3.6207e+00 +/- 3.58e-01
ZDT3,7.3314e+00 +/- 1.16e-01
ZDT4,0.0000e+00 +/- 0.00e+00
ZDT6,5.1534e+00 +/- 1.11e-04
WFG1,4.3153e+01 +/- 1.89e+00
WFG2,8.9462e+01 +/- 4.54e+00
WFG3,6.2809e+01 +/- 8.44e-01
WFG4,6.8333e+01 +/- 8.04e-01
WFG5,5.3672e+01 +/- 6.84e+00
WFG6,5.7761e+01 +/- 1.01e+00
WFG7,6.0937e+01 +/- 5.74e-01
WFG8,5.2332e+01 +/- 1.52e+00
WFG9,6.7672e+01 +/- 1.12e+00
