Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.0286157223291399,0.030217966583433353,5.74073272549058,0.10155169940071722
ZDT2,0.6476334009658654,0.10546970989643724,3.6206891554664606,0.35777544562252966
ZDT3,0.02195266475762787,0.016657602737001554,7.331359274021949,0.11575296621199285
ZDT4,17.88868456410431,3.234548781196295,0.0,0.0
ZDT6,0.0012333295247715123,7.530916994332435e-05,5.153363838403207,0.00011105272161513454
WFG1,1.460762713137425,0.04255100445755313,43.15313879652911,1.892146331393048
WFG2,0.3333253902672667,0.10800827163629996,89.46230657576497,4.539472974958471
WFG3,0.31454892628516945,0.024101160199579214,62.80934738727622,0.8436519136313271
WFG4,0.2546845439053721,0.014349622775976281,68.33290732292285,0.8043556864951353
WFG5,0.5328745460360667,0.1602687668099896,53.671811261681924,6.835475420995516
WFG6,0.46810177026566285,0.022472462656165534,57.7607521748913,1.0097376775898845
WFG7,0.4226540620862205,0.010329304900981232,60.937188274348145,0.5737611671558119
WFG8,0.5773658277107927,0.03286738849422887,52.331897304540284,1.5180073947878563
WFG9,0.2516820667111487,0.019478168133390462,67.67225145133467,1.1178397757832104
