Function,IGD
ZDT1,2.8616e-02 +/- 3.02e-02
ZDT2,6.4763e-01 +/- 1.05e-01
ZDT3,2.1953e-02 +/- 1.67e-02
ZDT4,1.7889e+01 +/- 3.23e+00
ZDT6,1.2333e-03 +/- 7.53e-05
WFG1,1.4608e+00 +/- 4.26e-02
WFG2,3.3333e-01 +/- 1.08e-01
WFG3,3.1455e-01 +/- 2.41e-02
WFG4,2.5468e-01 +/- 1.43e-02
WFG5,5.3287e-01 +/- 1.60e-01
WFG6,4.6810e-01 +/- 2.25e-02
WFG7,4.2265e-01 +/- 1.03e-02
WFG8,5.7737e-01 +/- 3.29e-02
WFG9,2.5168e-01 +/- 1.95e-02
